Buyer Postal Code,Buyer Currency,colonia,municipio,estado,direccion
55070,MXN,Carlos Salinas de Gortari,Ecatepec de Morelos,México,"Carlos Salinas de Gortari, Ecatepec de Morelos, México"
55070,MXN,Carlos Salinas de Gortari,Ecatepec de Morelos,México,"Carlos Salinas de Gortari, Ecatepec de Morelos, México"
55070,MXN,Carlos Salinas de Gortari,Ecatepec de Morelos,México,"Carlos Salinas de Gortari, Ecatepec de Morelos, México"
55070,MXN,Carlos Salinas de Gortari,Ecatepec de Morelos,México,"Carlos Salinas de Gortari, Ecatepec de Morelos, México"
87398,MXN,Azteca,Matamoros,Tamaulipas,"Azteca, Matamoros, Tamaulipas"
87398,MXN,Azteca,Matamoros,Tamaulipas,"Azteca, Matamoros, Tamaulipas"
87398,MXN,Azteca,Matamoros,Tamaulipas,"Azteca, Matamoros, Tamaulipas"
87398,MXN,Azteca,Matamoros,Tamaulipas,"Azteca, Matamoros, Tamaulipas"
45800,MXN,Jocotepec Centro,Jocotepec,Jalisco,"Jocotepec Centro, Jocotepec, Jalisco"
45800,MXN,Jocotepec Centro,Jocotepec,Jalisco,"Jocotepec Centro, Jocotepec, Jalisco"
85150,MXN,La Florida,Cajeme,Sonora,"La Florida, Cajeme, Sonora"
85150,MXN,La Florida,Cajeme,Sonora,"La Florida, Cajeme, Sonora"
42730,MXN,Progreso de Obregón Centro,Progreso de Obregón,Hidalgo,"Progreso de Obregón Centro, Progreso de Obregón, Hidalgo"
42730,MXN,Progreso de Obregón Centro,Progreso de Obregón,Hidalgo,"Progreso de Obregón Centro, Progreso de Obregón, Hidalgo"
62747,MXN,Araucaria,Cuautla,Morelos,"Araucaria, Cuautla, Morelos"
62747,MXN,Araucaria,Cuautla,Morelos,"Araucaria, Cuautla, Morelos"
62747,MXN,Araucaria,Cuautla,Morelos,"Araucaria, Cuautla, Morelos"
62747,MXN,Araucaria,Cuautla,Morelos,"Araucaria, Cuautla, Morelos"
28100,MXN,Tecomán Centro,Tecomán,Colima,"Tecomán Centro, Tecomán, Colima"
28100,MXN,Tecomán Centro,Tecomán,Colima,"Tecomán Centro, Tecomán, Colima"
28100,MXN,Tecomán Centro,Tecomán,Colima,"Tecomán Centro, Tecomán, Colima"
28100,MXN,Tecomán Centro,Tecomán,Colima,"Tecomán Centro, Tecomán, Colima"
79540,MXN,Villa de Zaragoza Centro,Zaragoza,San Luis Potosí,"Villa de Zaragoza Centro, Zaragoza, San Luis Potosí"
79540,MXN,Villa de Zaragoza Centro,Zaragoza,San Luis Potosí,"Villa de Zaragoza Centro, Zaragoza, San Luis Potosí"
54769,MXN,Hacienda del Parque,Cuautitlán Izcalli,México,"Hacienda del Parque, Cuautitlán Izcalli, México"
54769,MXN,Hacienda del Parque,Cuautitlán Izcalli,México,"Hacienda del Parque, Cuautitlán Izcalli, México"
54769,MXN,Hacienda del Parque,Cuautitlán Izcalli,México,"Hacienda del Parque, Cuautitlán Izcalli, México"
54769,MXN,Hacienda del Parque,Cuautitlán Izcalli,México,"Hacienda del Parque, Cuautitlán Izcalli, México"
50500,MXN,San Andrés Timilpan,Timilpan,México,"San Andrés Timilpan, Timilpan, México"
50500,MXN,San Andrés Timilpan,Timilpan,México,"San Andrés Timilpan, Timilpan, México"
50500,MXN,San Andrés Timilpan,Timilpan,México,"San Andrés Timilpan, Timilpan, México"
50500,MXN,San Andrés Timilpan,Timilpan,México,"San Andrés Timilpan, Timilpan, México"
75760,MXN,El Carmen,Tehuacán,Puebla,"El Carmen, Tehuacán, Puebla"
75760,MXN,El Carmen,Tehuacán,Puebla,"El Carmen, Tehuacán, Puebla"
75760,MXN,El Carmen,Tehuacán,Puebla,"El Carmen, Tehuacán, Puebla"
75760,MXN,El Carmen,Tehuacán,Puebla,"El Carmen, Tehuacán, Puebla"
75760,MXN,El Carmen,Tehuacán,Puebla,"El Carmen, Tehuacán, Puebla"
75760,MXN,El Carmen,Tehuacán,Puebla,"El Carmen, Tehuacán, Puebla"
