Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3376-2424-9777-79221,"Mar 6, 2022",3:09:49 PM PST,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,r8q,CO,VALLE,,COP,19500.00,0.005475,MXN,106.77,,
GPA.3376-2424-9777-79221,"Mar 6, 2022",3:09:49 PM PST,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,r8q,CO,VALLE,,COP,-2925.00,0.005475,MXN,-16.02,,
GPA.3376-2424-9777-79221,"Mar 6, 2022",3:09:49 PM PST,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,r8q,CO,VALLE,,MXN,-2.57,1.000000,MXN,-2.57,,
GPA.3382-2124-2093-02642,"Mar 6, 2022",3:10:15 PM PST,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,r8q,CO,VALLE,,COP,19500.00,0.005475,MXN,106.77,,
GPA.3382-2124-2093-02642,"Mar 6, 2022",3:10:15 PM PST,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,r8q,CO,VALLE,,COP,-2925.00,0.005475,MXN,-16.02,,
GPA.3382-2124-2093-02642,"Mar 6, 2022",3:10:15 PM PST,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,r8q,CO,VALLE,,MXN,-2.56,1.000000,MXN,-2.56,,
GPA.3307-4787-5068-98286,"Mar 23, 2022",6:34:38 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,beckham,MX,VER.,94500,MXN,99.00,1.000000,MXN,99.00,,
GPA.3307-4787-5068-98286,"Mar 23, 2022",6:34:38 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,beckham,MX,VER.,94500,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3307-4787-5068-98286,"Mar 23, 2022",6:34:38 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,beckham,MX,VER.,94500,MXN,-2.37,1.000000,MXN,-2.37,,
GPA.3373-5394-4250-48576,"Mar 25, 2022",8:58:45 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,crownqltechn,MX,HGO.,42184,MXN,99.00,1.000000,MXN,99.00,,
GPA.3373-5394-4250-48576,"Mar 25, 2022",8:58:45 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,crownqltechn,MX,HGO.,42184,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3373-5394-4250-48576,"Mar 25, 2022",8:58:45 AM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,crownqltechn,MX,HGO.,42184,MXN,-2.38,1.000000,MXN,-2.38,,
GPA.3342-5676-5284-07475,"Mar 25, 2022",9:05:13 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,crownqltechn,MX,HGO.,42184,MXN,99.00,1.000000,MXN,99.00,,
GPA.3342-5676-5284-07475,"Mar 25, 2022",9:05:13 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,crownqltechn,MX,HGO.,42184,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3342-5676-5284-07475,"Mar 25, 2022",9:05:13 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,crownqltechn,MX,HGO.,42184,MXN,-2.37,1.000000,MXN,-2.37,,
GPA.3375-7773-0322-09841,"Mar 27, 2022",4:03:44 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,ASUS_X00T_6,IT,NU,08100,EUR,3.48,22.003000,MXN,76.57,,
GPA.3359-5637-7227-15444,"Mar 28, 2022",9:12:46 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,starqltesq,US,TX,75067,USD,4.99,20.080000,MXN,100.20,,
GPA.3359-5637-7227-15444,"Mar 28, 2022",9:12:46 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,starqltesq,US,TX,75067,USD,-0.75,20.080000,MXN,-15.06,,
GPA.3359-5637-7227-15444,"Mar 28, 2022",9:12:46 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,starqltesq,US,TX,75067,MXN,-2.41,1.000000,MXN,-2.41,,
