Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3372-6351-0456-81538,"Aug 20, 2022",2:07:08 AM PDT,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,b0q,PE,,,PEN,18.99,5.220500,MXN,99.14,,,4992140864565314884,Yes,,,
GPA.3372-6351-0456-81538,"Aug 20, 2022",2:07:08 AM PDT,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,b0q,PE,,,PEN,-2.85,5.220500,MXN,-14.88,,,4992140864565314884,Yes,15,,
GPA.3372-6351-0456-81538,"Aug 20, 2022",2:07:08 AM PDT,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,b0q,PE,,,PEN,-0.46,5.220500,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3302-2108-8636-60156,"Aug 26, 2022",8:25:58 AM PDT,,Charge,,Beam design ACI 318 - 19,com.vigas.luiscantero.beamdesignaci318_19,0,,a32,ID,,57382,IDR,69000,0.001343,MXN,92.65,,,4992140864565314884,Yes,,,
GPA.3302-2108-8636-60156,"Aug 26, 2022",8:25:58 AM PDT,,Google fee,,Beam design ACI 318 - 19,com.vigas.luiscantero.beamdesignaci318_19,0,,a32,ID,,57382,IDR,-10350,0.001343,MXN,-13.90,,,4992140864565314884,Yes,15,,
GPA.3309-8408-4293-16049,"Aug 26, 2022",8:58:46 AM PDT,,Charge,,Column design ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.columndesignaci318_19,0,,a32,ID,,57382,IDR,69000,0.001343,MXN,92.65,,,4992140864565314884,Yes,,,
GPA.3309-8408-4293-16049,"Aug 26, 2022",8:58:46 AM PDT,,Google fee,,Column design ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.columndesignaci318_19,0,,a32,ID,,57382,IDR,-10350,0.001343,MXN,-13.90,,,4992140864565314884,Yes,15,,
