Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3339-1319-0730-87389,"Mar 1, 2018",12:58:00 PM PST,,Charge,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j7elte,MX,,77020,MXN,19.00,1.000000,MXN,19.00
GPA.3339-1319-0730-87389,"Mar 1, 2018",12:58:00 PM PST,,Google fee,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j7elte,MX,,77020,MXN,-5.70,1.000000,MXN,-5.70
GPA.3332-6268-3104-41908,"Mar 2, 2018",12:47:00 PM PST,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,nobleltetmo,MX,,97150,MXN,19.00,1.000000,MXN,19.00
GPA.3332-6268-3104-41908,"Mar 2, 2018",12:47:00 PM PST,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,nobleltetmo,MX,,97150,MXN,-5.70,1.000000,MXN,-5.70
GPA.3302-0992-8214-62142,"Mar 2, 2018",8:45:04 PM PST,,Charge,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,E6853,MX,,77510,MXN,19.00,1.000000,MXN,19.00
GPA.3302-0992-8214-62142,"Mar 2, 2018",8:45:04 PM PST,,Google fee,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,E6853,MX,,77510,MXN,-5.70,1.000000,MXN,-5.70
GPA.3343-2713-6341-62146,"Mar 3, 2018",1:33:45 PM PST,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,hwALE-H,MX,,08500,MXN,19.00,1.000000,MXN,19.00
GPA.3343-2713-6341-62146,"Mar 3, 2018",1:33:45 PM PST,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,hwALE-H,MX,,08500,MXN,-5.70,1.000000,MXN,-5.70
GPA.3323-3122-0456-17357,"Mar 4, 2018",9:50:41 AM PST,,Charge,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWCAM-H,MX,,21280,MXN,19.00,1.000000,MXN,19.00
GPA.3323-3122-0456-17357,"Mar 4, 2018",9:50:41 AM PST,,Google fee,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWCAM-H,MX,,21280,MXN,-5.70,1.000000,MXN,-5.70
GPA.3339-0880-6648-00915,"Mar 5, 2018",7:25:51 AM PST,,Charge,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,heroqltevzw,MX,,87560,MXN,19.00,1.000000,MXN,19.00
GPA.3339-0880-6648-00915,"Mar 5, 2018",7:25:51 AM PST,,Google fee,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,heroqltevzw,MX,,87560,MXN,-5.70,1.000000,MXN,-5.70
GPA.3361-4340-9094-85429,"Mar 5, 2018",8:43:24 PM PST,,Charge,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,herolte,MX,,42678,MXN,19.00,1.000000,MXN,19.00
GPA.3361-4340-9094-85429,"Mar 5, 2018",8:43:24 PM PST,,Google fee,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,herolte,MX,,42678,MXN,-5.70,1.000000,MXN,-5.70
GPA.3327-8086-9403-07516,"Mar 6, 2018",1:02:40 PM PST,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,herolte,MX,SON,83160,MXN,19.00,1.000000,MXN,19.00
