Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3321-2676-1386-39234,"Nov 2, 2019",12:38:47 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,aljeter,MX,,33825,MXN,36.00,1.000000,MXN,36.00
GPA.3321-2676-1386-39234,"Nov 2, 2019",12:38:47 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,aljeter,MX,,33825,MXN,-10.80,1.000000,MXN,-10.80
GPA.3364-9852-6488-36684,"Nov 2, 2019",10:33:54 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,d2s,MX,,37330,MXN,36.00,1.000000,MXN,36.00
GPA.3364-9852-6488-36684,"Nov 2, 2019",10:33:54 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,d2s,MX,,37330,MXN,-10.80,1.000000,MXN,-10.80
GPA.3391-5119-4833-71989,"Nov 2, 2019",4:16:15 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j4primelte,MX,JAL.,49340,MXN,36.00,1.000000,MXN,36.00
GPA.3391-5119-4833-71989,"Nov 2, 2019",4:16:15 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j4primelte,MX,JAL.,49340,MXN,-10.80,1.000000,MXN,-10.80
GPA.3366-0163-3427-97797,"Nov 2, 2019",4:16:49 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,j4primelte,MX,JAL.,49340,MXN,36.00,1.000000,MXN,36.00
GPA.3366-0163-3427-97797,"Nov 2, 2019",4:16:49 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,j4primelte,MX,JAL.,49340,MXN,-10.80,1.000000,MXN,-10.80
GPA.3356-2345-6512-62808,"Nov 3, 2019",8:47:18 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,potter_n,MX,MÉX.,56030,MXN,36.00,1.000000,MXN,36.00
GPA.3356-2345-6512-62808,"Nov 3, 2019",8:47:18 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,potter_n,MX,MÉX.,56030,MXN,-10.80,1.000000,MXN,-10.80
GPA.3375-4275-1221-30135,"Nov 3, 2019",12:35:15 PM PST,,Charge,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,a70q,MX,,58080,MXN,36.00,1.000000,MXN,36.00
GPA.3375-4275-1221-30135,"Nov 3, 2019",12:35:15 PM PST,,Google fee,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,a70q,MX,,58080,MXN,-10.80,1.000000,MXN,-10.80
GPA.3338-2373-2573-19511,"Nov 3, 2019",12:41:40 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a70q,MX,,58080,MXN,36.00,1.000000,MXN,36.00
GPA.3338-2373-2573-19511,"Nov 3, 2019",12:41:40 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a70q,MX,,58080,MXN,-10.80,1.000000,MXN,-10.80
GPA.3366-2215-1256-95911,"Nov 4, 2019",6:46:54 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a50,MX,,29940,MXN,36.00,1.000000,MXN,36.00
GPA.3366-2215-1256-95911,"Nov 4, 2019",6:46:54 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a50,MX,,29940,MXN,-10.80,1.000000,MXN,-10.80
GPA.3392-1228-4187-16005,"Nov 6, 2019",8:41:05 AM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,ocean,MX,,68256,MXN,36.00,1.000000,MXN,36.00
GPA.3392-1228-4187-16005,"Nov 6, 2019",8:41:05 AM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,ocean,MX,,68256,MXN,-10.80,1.000000,MXN,-10.80
GPA.3339-8031-9709-67958,"Nov 6, 2019",8:25:23 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,lavender,MX,,01700,MXN,36.00,1.000000,MXN,36.00
