Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description
GPA.3349-8476-1138-51201,"Apr 1, 2022",4:38:30 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,gts7lwifi,MX,,22020,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3349-8476-1138-51201,"Apr 1, 2022",4:38:30 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,gts7lwifi,MX,,22020,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,30,
GPA.3349-8476-1138-51201,"Apr 1, 2022",4:38:30 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,gts7lwifi,MX,,22020,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,
GPA.3336-4554-9775-06273,"Apr 1, 2022",5:08:44 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,gts7lwifi,MX,,22020,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3336-4554-9775-06273,"Apr 1, 2022",5:08:44 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,gts7lwifi,MX,,22020,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,30,
GPA.3336-4554-9775-06273,"Apr 1, 2022",5:08:44 PM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,gts7lwifi,MX,,22020,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,
GPA.3320-1660-5177-44830,"Apr 4, 2022",9:56:15 PM PDT,,Charge,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,surya,MX,,50200,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3320-1660-5177-44830,"Apr 4, 2022",9:56:15 PM PDT,,Google fee,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,surya,MX,,50200,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,30,
GPA.3320-1660-5177-44830,"Apr 4, 2022",9:56:15 PM PDT,Mexico VAT,Tax,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,surya,MX,,50200,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,
GPA.3391-2176-2790-70206,"Apr 5, 2022",9:57:50 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,evert_n,MX,,43905,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3391-2176-2790-70206,"Apr 5, 2022",9:57:50 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,evert_n,MX,,43905,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,30,
GPA.3391-2176-2790-70206,"Apr 5, 2022",9:57:50 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,evert_n,MX,,43905,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,
GPA.3389-8308-5302-57039,"Apr 15, 2022",10:11:21 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a31,MX,CDMX,02080,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3389-8308-5302-57039,"Apr 15, 2022",10:11:21 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a31,MX,CDMX,02080,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,30,
GPA.3389-8308-5302-57039,"Apr 15, 2022",10:11:21 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a31,MX,CDMX,02080,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,
GPA.3338-3096-5434-88520,"Apr 21, 2022",7:16:07 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,angelica,MX,OAX.,71328,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3338-3096-5434-88520,"Apr 21, 2022",7:16:07 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,angelica,MX,OAX.,71328,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,30,
GPA.3338-3096-5434-88520,"Apr 21, 2022",7:16:07 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,angelica,MX,OAX.,71328,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,
GPA.3338-3096-5434-88520,"Apr 21, 2022",8:21:23 PM PDT,,Charge refund,Full,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,angelica,MX,OAX.,71328,MXN,-99.00,1.000000,MXN,-99.00,,,4992140864565314884,Yes,,
GPA.3338-3096-5434-88520,"Apr 21, 2022",8:21:23 PM PDT,,Google fee refund,Full,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,angelica,MX,OAX.,71328,MXN,14.85,1.000000,MXN,14.85,,,4992140864565314884,Yes,30,
GPA.3338-3096-5434-88520,"Apr 21, 2022",8:21:23 PM PDT,Mexico VAT,Tax refund,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,angelica,MX,OAX.,71328,MXN,2.38,1.000000,MXN,2.38,,,4992140864565314884,Yes,,
GPA.3348-0653-4999-55450,"Apr 23, 2022",5:36:25 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,sweet,MX,,51585,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3348-0653-4999-55450,"Apr 23, 2022",5:36:25 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,sweet,MX,,51585,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,30,
GPA.3348-0653-4999-55450,"Apr 23, 2022",5:36:25 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,sweet,MX,,51585,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,
GPA.3305-3580-9658-22833,"Apr 26, 2022",1:00:50 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWJKM-H,MX,,62757,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,
GPA.3305-3580-9658-22833,"Apr 26, 2022",1:00:50 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWJKM-H,MX,,62757,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,30,
GPA.3305-3580-9658-22833,"Apr 26, 2022",1:00:50 PM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWJKM-H,MX,,62757,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,
