Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3322-4667-6002-98459,"Dec 8, 2022",8:58:10 AM PST,,Charge,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,hawaiip,MX,,45020,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3322-4667-6002-98459,"Dec 8, 2022",8:58:10 AM PST,,Google fee,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,hawaiip,MX,,45020,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3322-4667-6002-98459,"Dec 8, 2022",8:58:10 AM PST,Mexico VAT,Tax,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,hawaiip,MX,,45020,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3395-3709-5305-10923,"Dec 9, 2022",12:34:58 PM PST,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,curtana,MX,,85197,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3395-3709-5305-10923,"Dec 9, 2022",12:34:58 PM PST,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,curtana,MX,,85197,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3395-3709-5305-10923,"Dec 9, 2022",12:34:58 PM PST,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,curtana,MX,,85197,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3360-2427-7841-24329,"Dec 13, 2022",9:09:56 PM PST,,Charge,,Diseño de Columnas ACI 318 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,p3s,MX,,32544,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3360-2427-7841-24329,"Dec 13, 2022",9:09:56 PM PST,,Google fee,,Diseño de Columnas ACI 318 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,p3s,MX,,32544,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3360-2427-7841-24329,"Dec 13, 2022",9:09:56 PM PST,Mexico VAT,Tax,,Diseño de Columnas ACI 318 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,p3s,MX,,32544,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3343-5700-7827-35067,"Dec 14, 2022",6:10:22 AM PST,,Charge,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSTK-HF,MX,,36944,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3343-5700-7827-35067,"Dec 14, 2022",6:10:22 AM PST,,Google fee,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSTK-HF,MX,,36944,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3343-5700-7827-35067,"Dec 14, 2022",6:10:22 AM PST,Mexico VAT,Tax,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSTK-HF,MX,,36944,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3392-1326-7128-15476,"Dec 18, 2022",1:11:31 AM PST,,Charge,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,begoniain,US,MN,55406,USD,4.99,19.780000,MXN,98.70,,,4992140864565314884,Yes,,,
GPA.3392-1326-7128-15476,"Dec 18, 2022",1:11:31 AM PST,,Google fee,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,begoniain,US,MN,55406,USD,-0.75,19.780000,MXN,-14.84,,,4992140864565314884,Yes,15,,
GPA.3392-1326-7128-15476,"Dec 18, 2022",1:11:31 AM PST,Mexico VAT,Tax,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,begoniain,US,MN,55406,USD,-0.12,19.780000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3369-1917-4237-69101,"Dec 21, 2022",12:37:09 PM PST,,Charge,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,taoyao,MX,,06800,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3369-1917-4237-69101,"Dec 21, 2022",12:37:09 PM PST,,Google fee,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,taoyao,MX,,06800,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3369-1917-4237-69101,"Dec 21, 2022",12:37:09 PM PST,Mexico VAT,Tax,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,taoyao,MX,,06800,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3380-6914-9169-96184,"Dec 23, 2022",9:09:42 AM PST,,Charge,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,curtana,MX,Q.R.,77518,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3380-6914-9169-96184,"Dec 23, 2022",9:09:42 AM PST,,Google fee,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,curtana,MX,Q.R.,77518,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3380-6914-9169-96184,"Dec 23, 2022",9:09:42 AM PST,Mexico VAT,Tax,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,curtana,MX,Q.R.,77518,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3390-8319-2571-91088,"Dec 27, 2022",11:46:07 AM PST,,Charge,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,d2xq2,MX,,79610,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3390-8319-2571-91088,"Dec 27, 2022",11:46:07 AM PST,,Google fee,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,d2xq2,MX,,79610,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3390-8319-2571-91088,"Dec 27, 2022",11:46:07 AM PST,Mexico VAT,Tax,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,d2xq2,MX,,79610,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
