Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3307-5293-4327-24748,"Mar 1, 2019",11:45:15 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,perry_f,MX,,42183,MXN,24.00,1.000000,MXN,24.00
GPA.3307-5293-4327-24748,"Mar 1, 2019",11:45:15 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,perry_f,MX,,42183,MXN,-7.20,1.000000,MXN,-7.20
GPA.3343-8981-1528-01125,"Mar 5, 2019",11:54:32 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,mh,MX,,93660,MXN,24.00,1.000000,MXN,24.00
GPA.3343-8981-1528-01125,"Mar 5, 2019",11:54:32 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,mh,MX,,93660,MXN,-7.20,1.000000,MXN,-7.20
GPA.3375-0275-2835-03964,"Mar 5, 2019",9:48:22 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWANE,MX,,54800,MXN,24.00,1.000000,MXN,24.00
GPA.3375-0275-2835-03964,"Mar 5, 2019",9:48:22 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWANE,MX,,54800,MXN,-7.20,1.000000,MXN,-7.20
GPA.3317-8757-8796-71031,"Mar 8, 2019",9:20:21 AM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,POP455C,MX,,15900,MXN,24.00,1.000000,MXN,24.00
GPA.3317-8757-8796-71031,"Mar 8, 2019",9:20:21 AM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,POP455C,MX,,15900,MXN,-7.20,1.000000,MXN,-7.20
GPA.3323-9900-1875-84589,"Mar 8, 2019",6:19:52 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,dipper,MX,GRO.,40230,MXN,24.00,1.000000,MXN,24.00
GPA.3323-9900-1875-84589,"Mar 8, 2019",6:19:52 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,dipper,MX,GRO.,40230,MXN,-7.20,1.000000,MXN,-7.20
GPA.3365-1559-6217-40404,"Mar 8, 2019",8:12:45 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWWAS-H,MX,,13000,MXN,24.00,1.000000,MXN,24.00
GPA.3365-1559-6217-40404,"Mar 8, 2019",8:12:45 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWWAS-H,MX,,13000,MXN,-7.20,1.000000,MXN,-7.20
GPA.3349-9489-3000-11813,"Mar 9, 2019",3:26:07 AM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,platina,MX,,55010,MXN,24.00,1.000000,MXN,24.00
GPA.3349-9489-3000-11813,"Mar 9, 2019",3:26:07 AM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,platina,MX,,55010,MXN,-7.20,1.000000,MXN,-7.20
GPA.3342-3456-6322-27758,"Mar 12, 2019",10:38:23 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,noblelte,MX,,54460,MXN,24.00,1.000000,MXN,24.00
GPA.3342-3456-6322-27758,"Mar 12, 2019",10:38:23 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,noblelte,MX,,54460,MXN,-7.20,1.000000,MXN,-7.20
GPA.3344-8380-8749-87301,"Mar 12, 2019",10:55:35 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,noblelte,MX,,54460,MXN,24.00,1.000000,MXN,24.00
GPA.3344-8380-8749-87301,"Mar 12, 2019",10:55:35 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,noblelte,MX,,54460,MXN,-7.20,1.000000,MXN,-7.20
GPA.3340-0790-9384-95094,"Mar 13, 2019",10:33:31 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSNE,MX,,37369,MXN,24.00,1.000000,MXN,24.00
GPA.3340-0790-9384-95094,"Mar 13, 2019",10:33:31 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSNE,MX,,37369,MXN,-7.20,1.000000,MXN,-7.20
GPA.3389-8055-2557-88235,"Mar 13, 2019",10:37:36 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWSNE,MX,,37369,MXN,24.00,1.000000,MXN,24.00
GPA.3389-8055-2557-88235,"Mar 13, 2019",10:37:36 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWSNE,MX,,37369,MXN,-7.20,1.000000,MXN,-7.20
GPA.3356-5555-2398-76807,"Mar 15, 2019",11:49:31 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,beckham,MX,,45660,MXN,24.00,1.000000,MXN,24.00
GPA.3356-5555-2398-76807,"Mar 15, 2019",11:49:31 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,beckham,MX,,45660,MXN,-7.20,1.000000,MXN,-7.20
GPA.3327-3511-2409-11326,"Mar 15, 2019",3:50:05 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,jackpot2lte,MX,,53450,MXN,24.00,1.000000,MXN,24.00
GPA.3327-3511-2409-11326,"Mar 15, 2019",3:50:05 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,jackpot2lte,MX,,53450,MXN,-7.20,1.000000,MXN,-7.20
GPA.3380-8957-5485-31785,"Mar 15, 2019",3:50:41 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,jackpot2lte,MX,,53450,MXN,24.00,1.000000,MXN,24.00
GPA.3380-8957-5485-31785,"Mar 15, 2019",3:50:41 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,jackpot2lte,MX,,53450,MXN,-7.20,1.000000,MXN,-7.20
GPA.3315-1838-4843-16099,"Mar 16, 2019",7:17:13 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,evert_n,MX,,73950,MXN,24.00,1.000000,MXN,24.00
GPA.3315-1838-4843-16099,"Mar 16, 2019",7:17:13 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,evert_n,MX,,73950,MXN,-7.20,1.000000,MXN,-7.20
GPA.3329-3872-0435-72760,"Mar 17, 2019",2:06:08 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,Alpha_950,MX,,56619,MXN,24.00,1.000000,MXN,24.00
GPA.3329-3872-0435-72760,"Mar 17, 2019",2:06:08 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,Alpha_950,MX,,56619,MXN,-7.20,1.000000,MXN,-7.20
GPA.3393-2004-7888-63840,"Mar 18, 2019",7:50:19 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j8y18lte,MX,,54745,MXN,24.00,1.000000,MXN,24.00
GPA.3393-2004-7888-63840,"Mar 18, 2019",7:50:19 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j8y18lte,MX,,54745,MXN,-7.20,1.000000,MXN,-7.20
GPA.3362-1452-3944-24590,"Mar 18, 2019",5:01:39 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HS8929QC,MX,,38931,MXN,24.00,1.000000,MXN,24.00
GPA.3362-1452-3944-24590,"Mar 18, 2019",5:01:39 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HS8929QC,MX,,38931,MXN,-7.20,1.000000,MXN,-7.20
GPA.3374-2809-4689-68587,"Mar 18, 2019",5:26:00 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HS8929QC,MX,,38931,MXN,24.00,1.000000,MXN,24.00
GPA.3374-2809-4689-68587,"Mar 18, 2019",5:26:00 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HS8929QC,MX,,38931,MXN,-7.20,1.000000,MXN,-7.20
GPA.3374-1542-6923-86965,"Mar 19, 2019",6:49:18 AM PDT,,Charge,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,HWSLA-Q,MX,,75760,MXN,24.00,1.000000,MXN,24.00
GPA.3374-1542-6923-86965,"Mar 19, 2019",6:49:18 AM PDT,,Google fee,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,HWSLA-Q,MX,,75760,MXN,-7.20,1.000000,MXN,-7.20
GPA.3333-8287-8302-31793,"Mar 19, 2019",6:49:43 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,ocean,CO,,000456,COP,3500.00,0.006138,MXN,21.48
GPA.3333-8287-8302-31793,"Mar 19, 2019",6:49:43 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,ocean,CO,,000456,COP,-1050.00,0.006138,MXN,-6.44
GPA.3341-8885-7181-37615,"Mar 20, 2019",9:30:43 AM PDT,,Charge,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,X9,MX,,45200,MXN,24.00,1.000000,MXN,24.00
GPA.3341-8885-7181-37615,"Mar 20, 2019",9:30:43 AM PDT,,Google fee,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,X9,MX,,45200,MXN,-7.20,1.000000,MXN,-7.20
