Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3323-0674-4500-53093,"Nov 1, 2018",2:18:36 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,crownqltechn,MX,JAL.,47600,MXN,24.00,1.000000,MXN,24.00
GPA.3323-0674-4500-53093,"Nov 1, 2018",2:18:36 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,crownqltechn,MX,JAL.,47600,MXN,-7.20,1.000000,MXN,-7.20
GPA.3363-4277-7871-62563,"Nov 1, 2018",2:20:06 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,crownqltechn,MX,JAL.,47600,MXN,24.00,1.000000,MXN,24.00
GPA.3363-4277-7871-62563,"Nov 1, 2018",2:20:06 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,crownqltechn,MX,JAL.,47600,MXN,-7.20,1.000000,MXN,-7.20
GPA.3345-0288-9620-63898,"Nov 1, 2018",7:45:38 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,dreamlte,MX,NL,64988,MXN,24.00,1.000000,MXN,24.00
GPA.3345-0288-9620-63898,"Nov 1, 2018",7:45:38 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,dreamlte,MX,NL,64988,MXN,-7.20,1.000000,MXN,-7.20
GPA.3354-4460-9601-65472,"Nov 3, 2018",9:49:52 AM PDT,,Charge,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,greatlte,MX,,73900,MXN,24.00,1.000000,MXN,24.00
GPA.3354-4460-9601-65472,"Nov 3, 2018",9:49:52 AM PDT,,Google fee,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,greatlte,MX,,73900,MXN,-7.20,1.000000,MXN,-7.20
GPA.3340-7324-3832-08664,"Nov 4, 2018",6:54:34 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWRNE,MX,,97750,MXN,24.00,1.000000,MXN,24.00
GPA.3340-7324-3832-08664,"Nov 4, 2018",6:54:34 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWRNE,MX,,97750,MXN,-7.20,1.000000,MXN,-7.20
GPA.3380-7706-7525-87538,"Nov 6, 2018",10:20:10 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,j6lte,MX,CHIS,30670,MXN,24.00,1.000000,MXN,24.00
GPA.3380-7706-7525-87538,"Nov 6, 2018",10:20:10 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,j6lte,MX,CHIS,30670,MXN,-7.20,1.000000,MXN,-7.20
GPA.3379-6085-3412-23991,"Nov 9, 2018",3:45:01 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWWAS-H,MX,,86280,MXN,24.00,1.000000,MXN,24.00
GPA.3379-6085-3412-23991,"Nov 9, 2018",3:45:01 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWWAS-H,MX,,86280,MXN,-7.20,1.000000,MXN,-7.20
GPA.3301-9462-0815-84589,"Nov 12, 2018",1:32:08 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,dipper,MX,,12100,MXN,24.00,1.000000,MXN,24.00
GPA.3301-9462-0815-84589,"Nov 12, 2018",1:32:08 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,dipper,MX,,12100,MXN,-7.20,1.000000,MXN,-7.20
GPA.3394-0223-1949-69477,"Nov 14, 2018",3:25:22 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,rosy,MX,,63021,MXN,24.00,1.000000,MXN,24.00
GPA.3394-0223-1949-69477,"Nov 14, 2018",3:25:22 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,rosy,MX,,63021,MXN,-7.20,1.000000,MXN,-7.20
GPA.3328-1609-5764-39771,"Nov 15, 2018",12:39:01 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a5y17lte,MX,CHIS,29050,MXN,24.00,1.000000,MXN,24.00
GPA.3328-1609-5764-39771,"Nov 15, 2018",12:39:01 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a5y17lte,MX,CHIS,29050,MXN,-7.20,1.000000,MXN,-7.20
GPA.3328-1609-5764-39771,"Nov 15, 2018",12:39:55 PM PST,,Charge refund,Full,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a5y17lte,MX,CHIS,29050,MXN,-24.00,1.000000,MXN,-24.00
GPA.3328-1609-5764-39771,"Nov 15, 2018",12:39:55 PM PST,,Google fee refund,Full,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a5y17lte,MX,CHIS,29050,MXN,7.20,1.000000,MXN,7.20
GPA.3300-5513-0205-65005,"Nov 15, 2018",5:27:13 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,jactivelteatt,MX,,68028,MXN,24.00,1.000000,MXN,24.00
GPA.3300-5513-0205-65005,"Nov 15, 2018",5:27:13 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,jactivelteatt,MX,,68028,MXN,-7.20,1.000000,MXN,-7.20
GPA.3360-3015-5518-03878,"Nov 16, 2018",6:05:14 AM PST,,Charge,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,jactivelteatt,MX,,68028,MXN,24.00,1.000000,MXN,24.00
GPA.3360-3015-5518-03878,"Nov 16, 2018",6:05:14 AM PST,,Google fee,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,jactivelteatt,MX,,68028,MXN,-7.20,1.000000,MXN,-7.20
