Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3350-0856-1461-61924,"Sep 8, 2017",5:22:12 PM PDT,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,P653A10,MX,,09710,MXN,17.00,1.000000,MXN,17.00
GPA.3350-0856-1461-61924,"Sep 8, 2017",5:22:12 PM PDT,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,P653A10,MX,,09710,MXN,-5.10,1.000000,MXN,-5.10
GPA.3375-9777-9968-55672,"Sep 22, 2017",7:47:31 AM PDT,,Charge,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,k5,MX,,20050,MXN,21.00,1.000000,MXN,21.00
GPA.3375-9777-9968-55672,"Sep 22, 2017",7:47:31 AM PDT,,Google fee,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,k5,MX,,20050,MXN,-6.30,1.000000,MXN,-6.30
GPA.3367-4404-6694-69144,"Sep 23, 2017",11:09:34 AM PDT,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,k5,MX,,20050,MXN,17.00,1.000000,MXN,17.00
GPA.3367-4404-6694-69144,"Sep 23, 2017",11:09:34 AM PDT,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,k5,MX,,20050,MXN,-5.10,1.000000,MXN,-5.10
GPA.3382-6715-2638-69727,"Sep 30, 2017",12:45:51 PM PDT,,Charge,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,AIR-2,MX,,95300,MXN,21.00,1.000000,MXN,21.00
GPA.3382-6715-2638-69727,"Sep 30, 2017",12:45:51 PM PDT,,Google fee,,Diseño de columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,AIR-2,MX,,95300,MXN,-6.30,1.000000,MXN,-6.30
GPA.3303-5262-9850-85367,"Sep 30, 2017",12:47:49 PM PDT,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,AIR-2,MX,,95300,MXN,17.00,1.000000,MXN,17.00
GPA.3303-5262-9850-85367,"Sep 30, 2017",12:47:49 PM PDT,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,AIR-2,MX,,95300,MXN,-5.10,1.000000,MXN,-5.10
