Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3356-2543-4266-57395,"Feb 2, 2020",5:34:23 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWVOG,MX,,45880,MXN,36.00,1.000000,MXN,36.00
GPA.3356-2543-4266-57395,"Feb 2, 2020",5:34:23 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWVOG,MX,,45880,MXN,-10.80,1.000000,MXN,-10.80
GPA.3315-9936-4560-74053,"Feb 2, 2020",6:02:01 PM PST,,Charge,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,HWVOG,MX,,45880,MXN,36.00,1.000000,MXN,36.00
GPA.3315-9936-4560-74053,"Feb 2, 2020",6:02:01 PM PST,,Google fee,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,HWVOG,MX,,45880,MXN,-10.80,1.000000,MXN,-10.80
GPA.3364-4311-5408-70473,"Feb 5, 2020",1:36:13 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,doha,MX,,58226,MXN,36.00,1.000000,MXN,36.00
GPA.3364-4311-5408-70473,"Feb 5, 2020",1:36:13 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,doha,MX,,58226,MXN,-10.80,1.000000,MXN,-10.80
GPA.3331-3120-3805-33542,"Feb 5, 2020",4:49:04 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,doha,MX,,58226,MXN,36.00,1.000000,MXN,36.00
GPA.3331-3120-3805-33542,"Feb 5, 2020",4:49:04 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,doha,MX,,58226,MXN,-10.80,1.000000,MXN,-10.80
GPA.3356-0321-4055-87467,"Feb 6, 2020",9:31:52 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,F3213,MX,,54880,MXN,36.00,1.000000,MXN,36.00
GPA.3356-0321-4055-87467,"Feb 6, 2020",9:31:52 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,F3213,MX,,54880,MXN,-10.80,1.000000,MXN,-10.80
GPA.3356-0321-4055-87467,"Feb 6, 2020",9:35:51 PM PST,,Charge refund,Full,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,F3213,MX,,54880,MXN,-36.00,1.000000,MXN,-36.00
GPA.3356-0321-4055-87467,"Feb 6, 2020",9:35:51 PM PST,,Google fee refund,Full,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,F3213,MX,,54880,MXN,10.80,1.000000,MXN,10.80
GPA.3304-3249-6117-60343,"Feb 10, 2020",1:00:37 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j8y18lte,MX,,54930,MXN,36.00,1.000000,MXN,36.00
GPA.3304-3249-6117-60343,"Feb 10, 2020",1:00:37 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j8y18lte,MX,,54930,MXN,-10.80,1.000000,MXN,-10.80
GPA.3387-2532-2013-52201,"Feb 10, 2020",8:04:43 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWJKM-H,MX,,42500,MXN,36.00,1.000000,MXN,36.00
GPA.3387-2532-2013-52201,"Feb 10, 2020",8:04:43 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWJKM-H,MX,,42500,MXN,-10.80,1.000000,MXN,-10.80
GPA.3303-1975-4443-44211,"Feb 12, 2020",10:59:27 AM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,beyond1,PY,,1786,PYG,10000.00,0.002854,MXN,28.54
GPA.3303-1975-4443-44211,"Feb 12, 2020",10:59:27 AM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,beyond1,PY,,1786,PYG,-3000.00,0.002854,MXN,-8.56
GPA.3371-9806-0894-23552,"Feb 12, 2020",2:56:31 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWMAR,MX,,09820,MXN,36.00,1.000000,MXN,36.00
GPA.3371-9806-0894-23552,"Feb 12, 2020",2:56:31 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWMAR,MX,,09820,MXN,-10.80,1.000000,MXN,-10.80
GPA.3386-4025-0222-14944,"Feb 12, 2020",6:43:40 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,laurel_sprout,MX,,53360,MXN,36.00,1.000000,MXN,36.00
GPA.3386-4025-0222-14944,"Feb 12, 2020",6:43:40 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,laurel_sprout,MX,,53360,MXN,-10.80,1.000000,MXN,-10.80
GPA.3322-7472-3115-32540,"Feb 14, 2020",1:23:45 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,laurel_sprout,MX,,53360,MXN,36.00,1.000000,MXN,36.00
GPA.3322-7472-3115-32540,"Feb 14, 2020",1:23:45 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,laurel_sprout,MX,,53360,MXN,-10.80,1.000000,MXN,-10.80
GPA.3323-0824-4771-89414,"Feb 20, 2020",4:30:14 AM PST,,Charge,,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,m23g,MX,MÉX.,56377,MXN,35.00,1.000000,MXN,35.00
