Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3382-3113-9236-30747,"Oct 3, 2021",6:23:18 PM PDT,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,Armor_7,EC,,170801,USD,3.49,20.422000,MXN,71.27,,
GPA.3382-3113-9236-30747,"Oct 3, 2021",6:23:18 PM PDT,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,Armor_7,EC,,170801,USD,-0.52,20.422000,MXN,-10.62,,
GPA.3382-3113-9236-30747,"Oct 3, 2021",6:23:18 PM PDT,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,Armor_7,EC,,170801,MXN,-1.70,1.000000,MXN,-1.70,,
GPA.3382-3113-9236-30747,"Oct 3, 2021",6:49:17 PM PDT,,Charge refund,Full,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,Armor_7,EC,,170801,USD,-3.49,20.422000,MXN,-71.27,,
GPA.3382-3113-9236-30747,"Oct 3, 2021",6:49:17 PM PDT,,Google fee refund,Full,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,Armor_7,EC,,170801,USD,0.52,20.422000,MXN,10.62,,
GPA.3382-3113-9236-30747,"Oct 3, 2021",6:49:17 PM PDT,Mexico VAT,Tax refund,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,Armor_7,EC,,170801,MXN,1.70,1.000000,MXN,1.70,,
GPA.3369-3083-0260-84144,"Oct 4, 2021",4:22:30 AM PDT,,Charge,,Beam design ACI 318 - 19,com.vigas.luiscantero.beamdesignaci318_19,0,,j5y17lte,ES,CÁDIZ,11540,EUR,2.73,23.858000,MXN,65.13,,
GPA.3337-6428-2442-31253,"Oct 7, 2021",10:20:29 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j7velte,MX,,72000,MXN,75.00,1.000000,MXN,75.00,,
GPA.3337-6428-2442-31253,"Oct 7, 2021",10:20:29 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j7velte,MX,,72000,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3337-6428-2442-31253,"Oct 7, 2021",10:20:29 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j7velte,MX,,72000,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3345-3378-2628-00073,"Oct 9, 2021",8:47:13 AM PDT,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,violet,CR,SAN JOSE,7783,CRC,2300.00,0.032886,MXN,75.64,,
GPA.3345-3378-2628-00073,"Oct 9, 2021",8:47:13 AM PDT,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,violet,CR,SAN JOSE,7783,CRC,-345.00,0.032886,MXN,-11.35,,
GPA.3345-3378-2628-00073,"Oct 9, 2021",8:47:13 AM PDT,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,violet,CR,SAN JOSE,7783,MXN,-1.82,1.000000,MXN,-1.82,,
