Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3349-8990-7354-70046,"Aug 4, 2019",11:02:38 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,herolte,MX,,94170,MXN,26.00,1.000000,MXN,26.00
GPA.3349-8990-7354-70046,"Aug 4, 2019",11:02:38 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,herolte,MX,,94170,MXN,-7.80,1.000000,MXN,-7.80
GPA.3301-7229-4227-30229,"Aug 8, 2019",10:36:13 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,m20lte,MX,,42080,MXN,26.00,1.000000,MXN,26.00
GPA.3301-7229-4227-30229,"Aug 8, 2019",10:36:13 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,m20lte,MX,,42080,MXN,-7.80,1.000000,MXN,-7.80
GPA.3312-0234-6944-39637,"Aug 8, 2019",10:37:10 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,m20lte,MX,,42080,MXN,26.00,1.000000,MXN,26.00
GPA.3312-0234-6944-39637,"Aug 8, 2019",10:37:10 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,m20lte,MX,,42080,MXN,-7.80,1.000000,MXN,-7.80
GPA.3379-3183-2441-68461,"Aug 11, 2019",12:26:52 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,judyln,MX,,42730,MXN,26.00,1.000000,MXN,26.00
GPA.3379-3183-2441-68461,"Aug 11, 2019",12:26:52 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,judyln,MX,,42730,MXN,-7.80,1.000000,MXN,-7.80
GPA.3389-3350-5176-10302,"Aug 11, 2019",12:27:52 PM PDT,,Charge,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,judyln,MX,,42730,MXN,26.00,1.000000,MXN,26.00
GPA.3389-3350-5176-10302,"Aug 11, 2019",12:27:52 PM PDT,,Google fee,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,judyln,MX,,42730,MXN,-7.80,1.000000,MXN,-7.80
