Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3376-1812-1354-94569,"Feb 3, 2022",3:32:20 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,p3s,US,FL,32837,USD,4.99,20.610000,MXN,102.84,,
GPA.3376-1812-1354-94569,"Feb 3, 2022",3:32:20 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,p3s,US,FL,32837,USD,-0.75,20.610000,MXN,-15.46,,
GPA.3376-1812-1354-94569,"Feb 3, 2022",3:32:20 AM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,p3s,US,FL,32837,MXN,-2.47,1.000000,MXN,-2.47,,
GPA.3330-1204-8517-28566,"Feb 4, 2022",9:58:27 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWJKM-H,MX,YUC.,97180,MXN,99.00,1.000000,MXN,99.00,,
GPA.3330-1204-8517-28566,"Feb 4, 2022",9:58:27 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWJKM-H,MX,YUC.,97180,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3330-1204-8517-28566,"Feb 4, 2022",9:58:27 PM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWJKM-H,MX,YUC.,97180,MXN,-2.38,1.000000,MXN,-2.38,,
GPA.3386-0221-9042-56637,"Feb 5, 2022",4:20:08 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a52sxq,PE,SAN MARTÍN,22200,PEN,18.99,5.378300,MXN,102.13,,
GPA.3386-0221-9042-56637,"Feb 5, 2022",4:20:08 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a52sxq,PE,SAN MARTÍN,22200,PEN,-2.85,5.378300,MXN,-15.33,,
GPA.3386-0221-9042-56637,"Feb 5, 2022",4:20:08 AM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a52sxq,PE,SAN MARTÍN,22200,MXN,-2.45,1.000000,MXN,-2.45,,
GPA.3314-2204-3761-80541,"Feb 5, 2022",12:19:24 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,,US,FL,34135,USD,4.99,20.681000,MXN,103.20,,
GPA.3314-2204-3761-80541,"Feb 5, 2022",12:19:24 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,,US,FL,34135,USD,-0.75,20.681000,MXN,-15.51,,
GPA.3314-2204-3761-80541,"Feb 5, 2022",12:19:24 PM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,,US,FL,34135,MXN,-2.48,1.000000,MXN,-2.48,,
GPA.3321-1373-6526-43879,"Feb 14, 2022",1:33:15 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,curtana,MX,,52280,MXN,99.00,1.000000,MXN,99.00,,
GPA.3321-1373-6526-43879,"Feb 14, 2022",1:33:15 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,curtana,MX,,52280,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3321-1373-6526-43879,"Feb 14, 2022",1:33:15 AM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,curtana,MX,,52280,MXN,-2.38,1.000000,MXN,-2.38,,
GPA.3349-6810-6328-40788,"Feb 14, 2022",1:34:28 AM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,curtana,MX,,52280,MXN,99.00,1.000000,MXN,99.00,,
GPA.3349-6810-6328-40788,"Feb 14, 2022",1:34:28 AM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,curtana,MX,,52280,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3349-6810-6328-40788,"Feb 14, 2022",1:34:28 AM PST,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,curtana,MX,,52280,MXN,-2.38,1.000000,MXN,-2.38,,
GPA.3365-9781-7793-93996,"Feb 15, 2022",12:28:25 AM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,merlin,MX,,06800,MXN,99.00,1.000000,MXN,99.00,,
GPA.3365-9781-7793-93996,"Feb 15, 2022",12:28:25 AM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,merlin,MX,,06800,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3365-9781-7793-93996,"Feb 15, 2022",12:28:25 AM PST,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,merlin,MX,,06800,MXN,-2.37,1.000000,MXN,-2.37,,
GPA.3366-1893-6702-66723,"Feb 16, 2022",9:27:23 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWSNE,MX,,24400,MXN,99.00,1.000000,MXN,99.00,,
GPA.3366-1893-6702-66723,"Feb 16, 2022",9:27:23 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWSNE,MX,,24400,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3366-1893-6702-66723,"Feb 16, 2022",9:27:23 PM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,HWSNE,MX,,24400,MXN,-2.37,1.000000,MXN,-2.37,,
GPA.3326-7438-3086-13295,"Feb 16, 2022",9:59:30 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSNE,MX,,24400,MXN,99.00,1.000000,MXN,99.00,,
GPA.3326-7438-3086-13295,"Feb 16, 2022",9:59:30 PM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSNE,MX,,24400,MXN,-14.85,1.000000,MXN,-14.85,,
GPA.3326-7438-3086-13295,"Feb 16, 2022",9:59:30 PM PST,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSNE,MX,,24400,MXN,-2.38,1.000000,MXN,-2.38,,
