Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3323-1896-3910-09481,"Sep 2, 2021",9:11:57 PM PDT,,Charge,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,curtana,MX,HGO.,42094,MXN,75.00,1.000000,MXN,75.00,,
GPA.3323-1896-3910-09481,"Sep 2, 2021",9:11:57 PM PDT,,Google fee,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,curtana,MX,HGO.,42094,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3323-1896-3910-09481,"Sep 2, 2021",9:11:57 PM PDT,Mexico VAT,Tax,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,curtana,MX,HGO.,42094,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3349-4242-0842-34880,"Sep 4, 2021",10:01:46 AM PDT,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,P671A11,MX,MÉX.,57300,MXN,75.00,1.000000,MXN,75.00,,
GPA.3349-4242-0842-34880,"Sep 4, 2021",10:01:46 AM PDT,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,P671A11,MX,MÉX.,57300,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3349-4242-0842-34880,"Sep 4, 2021",10:01:46 AM PDT,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,P671A11,MX,MÉX.,57300,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3330-9334-0580-26583,"Sep 8, 2021",12:41:11 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,lancelot,MX,,42060,MXN,75.00,1.000000,MXN,75.00,,
GPA.3330-9334-0580-26583,"Sep 8, 2021",12:41:11 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,lancelot,MX,,42060,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3330-9334-0580-26583,"Sep 8, 2021",12:41:11 PM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,lancelot,MX,,42060,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3354-1012-1380-74134,"Sep 9, 2021",2:34:58 PM PDT,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWBLN-H,BF,,,USD,3.76,19.933000,MXN,74.95,,
GPA.3354-1012-1380-74134,"Sep 9, 2021",2:34:58 PM PDT,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWBLN-H,BF,,,USD,-0.56,19.933000,MXN,-11.16,,
GPA.3385-7649-1069-33101,"Sep 10, 2021",8:04:43 AM PDT,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWPOT-H,PE,LIMA,L33,PEN,14.99,4.847800,MXN,72.67,,
GPA.3385-7649-1069-33101,"Sep 10, 2021",8:04:43 AM PDT,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWPOT-H,PE,LIMA,L33,PEN,-2.25,4.847800,MXN,-10.91,,
GPA.3385-7649-1069-33101,"Sep 10, 2021",8:04:43 AM PDT,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWPOT-H,PE,LIMA,L33,MXN,-1.75,1.000000,MXN,-1.75,,
GPA.3377-5830-6538-14071,"Sep 11, 2021",4:10:29 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,j5y17lte,ES,CÁDIZ,11540,EUR,2.59,23.495000,MXN,60.85,,
GPA.3349-2711-4148-98449,"Sep 14, 2021",7:39:56 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a32,PE,SAN MARTÍN,22200,PEN,13.99,4.848800,MXN,67.83,,
GPA.3349-2711-4148-98449,"Sep 14, 2021",7:39:56 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a32,PE,SAN MARTÍN,22200,PEN,-2.10,4.848800,MXN,-10.18,,
GPA.3349-2711-4148-98449,"Sep 14, 2021",7:39:56 PM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a32,PE,SAN MARTÍN,22200,MXN,-1.62,1.000000,MXN,-1.62,,
GPA.3337-1900-6760-84162,"Sep 15, 2021",9:27:46 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,greatlte,MX,,79610,MXN,75.00,1.000000,MXN,75.00,,
GPA.3337-1900-6760-84162,"Sep 15, 2021",9:27:46 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,greatlte,MX,,79610,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3337-1900-6760-84162,"Sep 15, 2021",9:27:46 AM PDT,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,greatlte,MX,,79610,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3384-7654-3747-42636,"Sep 20, 2021",10:12:14 AM PDT,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,a9y18qlte,PE,,,PEN,14.99,4.894600,MXN,73.37,,
GPA.3384-7654-3747-42636,"Sep 20, 2021",10:12:14 AM PDT,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,a9y18qlte,PE,,,PEN,-2.25,4.894600,MXN,-11.01,,
GPA.3384-7654-3747-42636,"Sep 20, 2021",10:12:14 AM PDT,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,a9y18qlte,PE,,,MXN,-1.76,1.000000,MXN,-1.76,,
GPA.3373-7816-1303-95884,"Sep 20, 2021",10:28:32 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a9y18qlte,PE,,,PEN,13.99,4.894600,MXN,68.48,,
GPA.3373-7816-1303-95884,"Sep 20, 2021",10:28:32 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a9y18qlte,PE,,,PEN,-2.10,4.894600,MXN,-10.28,,
GPA.3373-7816-1303-95884,"Sep 20, 2021",10:28:32 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a9y18qlte,PE,,,MXN,-1.65,1.000000,MXN,-1.65,,
GPA.3353-8803-7987-93311,"Sep 20, 2021",10:59:49 PM PDT,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWDUB-Q,BO,,,BOB,25.99,2.912800,MXN,75.70,,
GPA.3353-8803-7987-93311,"Sep 20, 2021",10:59:49 PM PDT,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWDUB-Q,BO,,,BOB,-3.90,2.912800,MXN,-11.36,,
GPA.3353-8803-7987-93311,"Sep 20, 2021",10:59:49 PM PDT,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWDUB-Q,BO,,,MXN,-1.82,1.000000,MXN,-1.82,,
GPA.3367-2851-4183-30523,"Sep 21, 2021",8:01:43 PM PDT,,Charge,,Construcción Compuesta OR - IMCA,com.ingenieriacivilmexico.luiscantero.disenodecolumnascompuestas,0,,HWFIG-H,MX,,55020,MXN,75.00,1.000000,MXN,75.00,,
GPA.3367-2851-4183-30523,"Sep 21, 2021",8:01:43 PM PDT,,Google fee,,Construcción Compuesta OR - IMCA,com.ingenieriacivilmexico.luiscantero.disenodecolumnascompuestas,0,,HWFIG-H,MX,,55020,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3367-2851-4183-30523,"Sep 21, 2021",8:01:43 PM PDT,Mexico VAT,Tax,,Construcción Compuesta OR - IMCA,com.ingenieriacivilmexico.luiscantero.disenodecolumnascompuestas,0,,HWFIG-H,MX,,55020,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3365-2899-3491-22240,"Sep 22, 2021",2:47:15 PM PDT,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,,EC,,,USD,3.49,20.079000,MXN,70.07,,
GPA.3365-2899-3491-22240,"Sep 22, 2021",2:47:15 PM PDT,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,,EC,,,USD,-0.52,20.079000,MXN,-10.44,,
GPA.3365-2899-3491-22240,"Sep 22, 2021",2:47:15 PM PDT,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,,EC,,,MXN,-1.67,1.000000,MXN,-1.67,,
GPA.3337-0514-4503-19227,"Sep 25, 2021",10:21:48 AM PDT,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,,EC,,,USD,3.99,20.053000,MXN,80.01,,
GPA.3337-0514-4503-19227,"Sep 25, 2021",10:21:48 AM PDT,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,,EC,,,USD,-0.60,20.053000,MXN,-12.03,,
GPA.3337-0514-4503-19227,"Sep 25, 2021",10:21:48 AM PDT,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,,EC,,,MXN,-1.92,1.000000,MXN,-1.92,,
GPA.3334-4741-6607-05028,"Sep 26, 2021",8:10:15 PM PDT,,Charge,,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,beyond2,MX,,52985,MXN,75.00,1.000000,MXN,75.00,,
GPA.3334-4741-6607-05028,"Sep 26, 2021",8:10:15 PM PDT,,Google fee,,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,beyond2,MX,,52985,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3334-4741-6607-05028,"Sep 26, 2021",8:10:15 PM PDT,Mexico VAT,Tax,,Diseño de vigas reticulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,beyond2,MX,,52985,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3326-9033-1971-33653,"Sep 26, 2021",9:24:00 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,d2s,MX,,91777,MXN,75.00,1.000000,MXN,75.00,,
GPA.3326-9033-1971-33653,"Sep 26, 2021",9:24:00 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,d2s,MX,,91777,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3326-9033-1971-33653,"Sep 26, 2021",9:24:00 PM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,d2s,MX,,91777,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3393-1308-1600-65132,"Sep 26, 2021",9:56:47 PM PDT,,Charge,,Diseño de columnas circulares NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,d2s,MX,,91777,MXN,75.00,1.000000,MXN,75.00,,
