Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3312-5780-6858-22259,"Oct 11, 2022",11:37:30 AM PDT,,Charge,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a52q,MX,,55885,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3312-5780-6858-22259,"Oct 11, 2022",11:37:30 AM PDT,,Google fee,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a52q,MX,,55885,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3312-5780-6858-22259,"Oct 11, 2022",11:37:30 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a52q,MX,,55885,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3361-1059-1504-39347,"Oct 11, 2022",11:47:29 AM PDT,,Charge,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,a52q,MX,,55885,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3361-1059-1504-39347,"Oct 11, 2022",11:47:29 AM PDT,,Google fee,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,a52q,MX,,55885,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3361-1059-1504-39347,"Oct 11, 2022",11:47:29 AM PDT,Mexico VAT,Tax,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,a52q,MX,,55885,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3389-1556-0719-02719,"Oct 17, 2022",11:01:48 AM PDT,,Charge,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a32,MX,,29130,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3389-1556-0719-02719,"Oct 17, 2022",11:01:48 AM PDT,,Google fee,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a32,MX,,29130,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3389-1556-0719-02719,"Oct 17, 2022",11:01:48 AM PDT,Mexico VAT,Tax,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a32,MX,,29130,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3340-3139-8967-49557,"Oct 17, 2022",11:10:00 AM PDT,,Charge,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,a32,MX,,29130,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
