Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3388-2875-0357-69657,"Nov 22, 2021",11:29:46 PM PST,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,bonito,MX,,07720,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3355-1481-6445-48584,"Nov 26, 2021",8:29:51 PM PST,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,HWLYA,MX,,97750,MXN,75.00,1.000000,MXN,75.00,,
GPA.3355-1481-6445-48584,"Nov 26, 2021",8:29:51 PM PST,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,HWLYA,MX,,97750,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3355-1481-6445-48584,"Nov 26, 2021",8:29:51 PM PST,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,HWLYA,MX,,97750,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3309-7032-7671-28464,"Nov 26, 2021",8:30:22 PM PST,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWLYA,MX,,97750,MXN,75.00,1.000000,MXN,75.00,,
GPA.3309-7032-7671-28464,"Nov 26, 2021",8:30:22 PM PST,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWLYA,MX,,97750,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3309-7032-7671-28464,"Nov 26, 2021",8:30:22 PM PST,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWLYA,MX,,97750,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3352-7122-2461-59907,"Nov 30, 2021",7:22:51 AM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWJAT-M,MX,,75760,MXN,75.00,1.000000,MXN,75.00,,
GPA.3352-7122-2461-59907,"Nov 30, 2021",7:22:51 AM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWJAT-M,MX,,75760,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3352-7122-2461-59907,"Nov 30, 2021",7:22:51 AM PST,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWJAT-M,MX,,75760,MXN,-1.80,1.000000,MXN,-1.80,,
