Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3370-2707-2879-64649,"Dec 1, 2021",6:06:15 PM PST,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWAMN-M,MX,,23070,MXN,75.00,1.000000,MXN,75.00,,
GPA.3370-2707-2879-64649,"Dec 1, 2021",6:06:15 PM PST,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWAMN-M,MX,,23070,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3370-2707-2879-64649,"Dec 1, 2021",6:06:15 PM PST,Mexico VAT,Tax,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWAMN-M,MX,,23070,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3383-4122-2250-87562,"Dec 3, 2021",6:01:40 AM PST,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,HWMAR,PA,CHIRIQUÍ,,USD,3.49,21.246000,MXN,74.15,,
GPA.3383-4122-2250-87562,"Dec 3, 2021",6:01:40 AM PST,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,HWMAR,PA,CHIRIQUÍ,,USD,-0.52,21.246000,MXN,-11.05,,
GPA.3383-4122-2250-87562,"Dec 3, 2021",6:01:40 AM PST,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,HWMAR,PA,CHIRIQUÍ,,MXN,-1.77,1.000000,MXN,-1.77,,
GPA.3367-4368-9880-32913,"Dec 14, 2021",7:25:25 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,vayu,MX,,41700,MXN,75.00,1.000000,MXN,75.00,,
GPA.3367-4368-9880-32913,"Dec 14, 2021",7:25:25 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,vayu,MX,,41700,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3367-4368-9880-32913,"Dec 14, 2021",7:25:25 AM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,vayu,MX,,41700,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3301-2088-6175-05907,"Dec 15, 2021",6:19:13 AM PST,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,a71,MX,TLAX.,90356,MXN,75.00,1.000000,MXN,75.00,,
GPA.3301-2088-6175-05907,"Dec 15, 2021",6:19:13 AM PST,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,a71,MX,TLAX.,90356,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3301-2088-6175-05907,"Dec 15, 2021",6:19:13 AM PST,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,a71,MX,TLAX.,90356,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3388-3131-1957-13634,"Dec 15, 2021",5:21:21 PM PST,,Charge,,Construcción Compuesta OR - IMCA,com.ingenieriacivilmexico.luiscantero.disenodecolumnascompuestas,0,,HWAMN-M,MX,,23070,MXN,75.00,1.000000,MXN,75.00,,
GPA.3388-3131-1957-13634,"Dec 15, 2021",5:21:21 PM PST,,Google fee,,Construcción Compuesta OR - IMCA,com.ingenieriacivilmexico.luiscantero.disenodecolumnascompuestas,0,,HWAMN-M,MX,,23070,MXN,-11.25,1.000000,MXN,-11.25,,
GPA.3388-3131-1957-13634,"Dec 15, 2021",5:21:21 PM PST,Mexico VAT,Tax,,Construcción Compuesta OR - IMCA,com.ingenieriacivilmexico.luiscantero.disenodecolumnascompuestas,0,,HWAMN-M,MX,,23070,MXN,-1.80,1.000000,MXN,-1.80,,
GPA.3345-9590-9727-73893,"Dec 16, 2021",8:51:48 PM PST,,Charge,,Beam design ACI 318 - 19,com.vigas.luiscantero.beamdesignaci318_19,0,,x1s,SV,San Salvador,,USD,3.49,20.823000,MXN,72.67,,
GPA.3345-9590-9727-73893,"Dec 16, 2021",8:51:48 PM PST,,Google fee,,Beam design ACI 318 - 19,com.vigas.luiscantero.beamdesignaci318_19,0,,x1s,SV,San Salvador,,USD,-0.52,20.823000,MXN,-10.83,,
GPA.3345-9590-9727-73893,"Dec 16, 2021",8:51:48 PM PST,Mexico VAT,Tax,,Beam design ACI 318 - 19,com.vigas.luiscantero.beamdesignaci318_19,0,,x1s,SV,San Salvador,,MXN,-1.73,1.000000,MXN,-1.73,,
GPA.3333-5210-1247-44180,"Dec 18, 2021",8:09:13 PM PST,,Charge,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWANE,MX,,40880,MXN,75.00,1.000000,MXN,75.00,,
GPA.3333-5210-1247-44180,"Dec 18, 2021",8:09:13 PM PST,,Google fee,,Diseño de columnas ACI 318 - 19,com.ingenieriacivilmexico.luiscantero.disenodecolumnasaci318_19,0,,HWANE,MX,,40880,MXN,-11.25,1.000000,MXN,-11.25,,
