Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3359-9712-0867-83574,"Nov 5, 2022",4:47:38 AM PDT,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,a23,BO,,,BOB,32.99,2.816600,MXN,92.92,,,4992140864565314884,Yes,,,
GPA.3359-9712-0867-83574,"Nov 5, 2022",4:47:38 AM PDT,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,a23,BO,,,BOB,-4.95,2.816600,MXN,-13.94,,,4992140864565314884,Yes,15,,
GPA.3359-9712-0867-83574,"Nov 5, 2022",4:47:38 AM PDT,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,a23,BO,,,BOB,-0.79,2.816600,MXN,-2.23,,,4992140864565314884,Yes,,,
GPA.3370-2342-5226-17469,"Nov 7, 2022",12:04:45 PM PST,,Charge,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,X304F,MX,,72307,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3370-2342-5226-17469,"Nov 7, 2022",12:04:45 PM PST,,Google fee,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,X304F,MX,,72307,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3370-2342-5226-17469,"Nov 7, 2022",12:04:45 PM PST,Mexico VAT,Tax,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,X304F,MX,,72307,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3350-5307-1224-04468,"Nov 7, 2022",12:14:05 PM PST,,Charge,,Columnas circulares NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,X304F,MX,,72307,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3350-5307-1224-04468,"Nov 7, 2022",12:14:05 PM PST,,Google fee,,Columnas circulares NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,X304F,MX,,72307,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3350-5307-1224-04468,"Nov 7, 2022",12:14:05 PM PST,Mexico VAT,Tax,,Columnas circulares NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,X304F,MX,,72307,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3372-8840-3801-98930,"Nov 8, 2022",7:35:19 AM PST,,Charge,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,X304F,MX,,72307,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3372-8840-3801-98930,"Nov 8, 2022",7:35:19 AM PST,,Google fee,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,X304F,MX,,72307,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3372-8840-3801-98930,"Nov 8, 2022",7:35:19 AM PST,Mexico VAT,Tax,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,X304F,MX,,72307,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3357-8452-6006-46992,"Nov 10, 2022",11:15:58 AM PST,,Charge,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,OP4F43L1,MX,CHIS.,30725,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3357-8452-6006-46992,"Nov 10, 2022",11:15:58 AM PST,,Google fee,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,OP4F43L1,MX,CHIS.,30725,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3357-8452-6006-46992,"Nov 10, 2022",11:15:58 AM PST,Mexico VAT,Tax,,Diseño de vigas NTC RSEE 2021,com.vigas.luiscantero.disenodevigasmexico,0,,OP4F43L1,MX,CHIS.,30725,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3391-9641-8476-85000,"Nov 13, 2022",7:24:51 PM PST,,Charge,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,y2q,NI,,,USD,5.08,19.506000,MXN,99.09,,,4992140864565314884,Yes,,,
GPA.3391-9641-8476-85000,"Nov 13, 2022",7:24:51 PM PST,,Google fee,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,y2q,NI,,,USD,-0.76,19.506000,MXN,-14.82,,,4992140864565314884,Yes,15,,
GPA.3391-9641-8476-85000,"Nov 13, 2022",7:24:51 PM PST,Mexico VAT,Tax,,Diseño de vigas ACI 318 - 19,com.vigas.luiscantero.disenodevigasaci318_19,0,,y2q,NI,,,USD,-0.12,19.506000,MXN,-2.38,,,4992140864565314884,Yes,,,
GPA.3349-0908-3483-55315,"Nov 22, 2022",9:59:32 PM PST,,Charge,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,grandpplte,MX,,98965,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3349-0908-3483-55315,"Nov 22, 2022",9:59:32 PM PST,,Google fee,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,grandpplte,MX,,98965,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3349-0908-3483-55315,"Nov 22, 2022",9:59:32 PM PST,Mexico VAT,Tax,,Diseño de columnas NTC - 2021,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,grandpplte,MX,,98965,MXN,-2.37,1.000000,MXN,-2.37,,,4992140864565314884,Yes,,,
GPA.3383-5701-1934-46668,"Nov 24, 2022",12:22:27 PM PST,,Charge,,Vigas reticulares NTC - 2021,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,maltose,MX,,60180,MXN,99.00,1.000000,MXN,99.00,,,4992140864565314884,Yes,,,
GPA.3383-5701-1934-46668,"Nov 24, 2022",12:22:27 PM PST,,Google fee,,Vigas reticulares NTC - 2021,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,maltose,MX,,60180,MXN,-14.85,1.000000,MXN,-14.85,,,4992140864565314884,Yes,15,,
GPA.3383-5701-1934-46668,"Nov 24, 2022",12:22:27 PM PST,Mexico VAT,Tax,,Vigas reticulares NTC - 2021,com.ingenieriacivilmexico.luiscantero.viga_reticular,0,,maltose,MX,,60180,MXN,-2.38,1.000000,MXN,-2.38,,,4992140864565314884,Yes,,,
