Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3397-0534-9213-98547,"Jun 6, 2017",6:10:19 PM PDT,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,clark,BR,RO,76990000,BRL,2.49,5.563000,MXN,13.85
GPA.3397-0534-9213-98547,"Jun 6, 2017",6:10:19 PM PDT,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,clark,BR,RO,76990000,BRL,-0.75,5.563000,MXN,-4.17
GPA.3397-0534-9213-98547,"Jun 6, 2017",6:10:19 PM PDT,Brazil CIDE Withholding Tax,Tax,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,clark,BR,RO,76990000,MXN,-1.39,1.000000,MXN,-1.39
GPA.3397-0534-9213-98547,"Jun 6, 2017",6:10:19 PM PDT,Brazil IRRF Withholding Tax,Tax,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,clark,BR,RO,76990000,MXN,-2.08,1.000000,MXN,-2.08
GPA.3397-0534-9213-98547,"Jun 6, 2017",6:10:19 PM PDT,Brazil CIDE Withholding Tax,Tax,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,clark,BR,RO,76990000,MXN,0.42,1.000000,MXN,0.42
GPA.3397-0534-9213-98547,"Jun 6, 2017",6:10:19 PM PDT,Brazil IRRF Withholding Tax,Tax,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,clark,BR,RO,76990000,MXN,0.63,1.000000,MXN,0.63
GPA.3349-0789-8827-15558,"Jun 15, 2017",4:35:04 PM PDT,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,falcon_umts,MX,,85150,MXN,15.00,1.000000,MXN,15.00
GPA.3349-0789-8827-15558,"Jun 15, 2017",4:35:04 PM PDT,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,falcon_umts,MX,,85150,MXN,-4.50,1.000000,MXN,-4.50
GPA.3344-2195-3163-35578,"Jun 16, 2017",7:25:50 AM PDT,,Charge,,Diseño columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,athene,MX,PUE,73000,MXN,20.00,1.000000,MXN,20.00
GPA.3344-2195-3163-35578,"Jun 16, 2017",7:25:50 AM PDT,,Google fee,,Diseño columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,athene,MX,PUE,73000,MXN,-6.00,1.000000,MXN,-6.00
GPA.3353-5643-7564-64733,"Jun 18, 2017",8:40:44 PM PDT,,Charge,,Diseño columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,hi6210sft,PE,,,PEN,3.49,5.478100,MXN,19.12
GPA.3353-5643-7564-64733,"Jun 18, 2017",8:40:44 PM PDT,,Google fee,,Diseño columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,hi6210sft,PE,,,PEN,-1.05,5.478100,MXN,-5.75
GPA.3345-6768-2356-39777,"Jun 23, 2017",8:32:36 PM PDT,,Charge,,Diseño columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,zeroflteatt,MX,ZAC,99670,MXN,20.00,1.000000,MXN,20.00
GPA.3345-6768-2356-39777,"Jun 23, 2017",8:32:36 PM PDT,,Google fee,,Diseño columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,zeroflteatt,MX,ZAC,99670,MXN,-6.00,1.000000,MXN,-6.00
GPA.3311-5232-7556-33205,"Jun 23, 2017",8:38:55 PM PDT,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,zeroflteatt,MX,ZAC,99670,MXN,15.00,1.000000,MXN,15.00
GPA.3311-5232-7556-33205,"Jun 23, 2017",8:38:55 PM PDT,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,zeroflteatt,MX,ZAC,99670,MXN,-4.50,1.000000,MXN,-4.50
GPA.3370-6256-9107-03169,"Jun 25, 2017",11:06:41 PM PDT,,Charge,,Diseño columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,osprey_umts,MX,,86150,MXN,20.00,1.000000,MXN,20.00
GPA.3370-6256-9107-03169,"Jun 25, 2017",11:06:41 PM PDT,,Google fee,,Diseño columnas NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,osprey_umts,MX,,86150,MXN,-6.00,1.000000,MXN,-6.00
GPA.3397-2048-7309-97187,"Jun 25, 2017",11:08:02 PM PDT,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,osprey_umts,MX,,86150,MXN,15.00,1.000000,MXN,15.00
GPA.3397-2048-7309-97187,"Jun 25, 2017",11:08:02 PM PDT,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,osprey_umts,MX,,86150,MXN,-4.50,1.000000,MXN,-4.50
GPA.3325-9404-8081-97372,"Jun 27, 2017",11:25:39 AM PDT,,Charge,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,hwY635,MX,,07140,MXN,15.00,1.000000,MXN,15.00
GPA.3325-9404-8081-97372,"Jun 27, 2017",11:25:39 AM PDT,,Google fee,,Diseño de vigas NTC - DF 2004,com.vigas.luiscantero.disenodevigasmexico,0,,hwY635,MX,,07140,MXN,-4.50,1.000000,MXN,-4.50
