Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3336-3061-6611-85917,"Jul 1, 2019",8:29:07 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,cedric,MX,,75490,MXN,26.00,1.000000,MXN,26.00
GPA.3336-3061-6611-85917,"Jul 1, 2019",8:29:07 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,cedric,MX,,75490,MXN,-7.80,1.000000,MXN,-7.80
GPA.3316-8074-4672-36914,"Jul 4, 2019",12:25:43 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,potter_n,MX,,58240,MXN,26.00,1.000000,MXN,26.00
GPA.3316-8074-4672-36914,"Jul 4, 2019",12:25:43 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,potter_n,MX,,58240,MXN,-7.80,1.000000,MXN,-7.80
GPA.3308-2281-9289-97001,"Jul 4, 2019",12:30:13 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,potter_n,MX,,58240,MXN,26.00,1.000000,MXN,26.00
GPA.3308-2281-9289-97001,"Jul 4, 2019",12:30:13 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,potter_n,MX,,58240,MXN,-7.80,1.000000,MXN,-7.80
GPA.3372-0974-9528-70987,"Jul 5, 2019",8:31:05 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,evert_n,MX,,60180,MXN,26.00,1.000000,MXN,26.00
GPA.3372-0974-9528-70987,"Jul 5, 2019",8:31:05 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,evert_n,MX,,60180,MXN,-7.80,1.000000,MXN,-7.80
GPA.3384-8680-4056-93978,"Jul 5, 2019",9:39:30 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,nobleltevzw,MX,,75857,MXN,26.00,1.000000,MXN,26.00
GPA.3384-8680-4056-93978,"Jul 5, 2019",9:39:30 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,nobleltevzw,MX,,75857,MXN,-7.80,1.000000,MXN,-7.80
GPA.3316-9899-8649-83529,"Jul 8, 2019",12:25:20 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWFRD,MX,,02800,MXN,26.00,1.000000,MXN,26.00
