Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3343-5013-3421-22229,"Apr 2, 2018",4:44:53 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,athene,MX,,14330,MXN,22.00,1.000000,MXN,22.00
GPA.3343-5013-3421-22229,"Apr 2, 2018",4:44:53 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,athene,MX,,14330,MXN,-6.60,1.000000,MXN,-6.60
GPA.3366-5036-3383-28257,"Apr 2, 2018",5:38:56 PM PDT,,Charge,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,a3lte,PE,,,PEN,3.19,5.653400,MXN,18.03
GPA.3366-5036-3383-28257,"Apr 2, 2018",5:38:56 PM PDT,,Google fee,,Diseño de columnas circulares NTC - DF 2004,com.ingenieriacivilmexico.luiscantero.disenodecolumnascircularesmexico,0,,a3lte,PE,,,PEN,-0.96,5.653400,MXN,-5.43
GPA.3352-9801-2860-69918,"Apr 3, 2018",1:06:24 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,athene,MX,,14330,MXN,22.00,1.000000,MXN,22.00
GPA.3352-9801-2860-69918,"Apr 3, 2018",1:06:24 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,athene,MX,,14330,MXN,-6.60,1.000000,MXN,-6.60
GPA.3344-8650-2988-42501,"Apr 3, 2018",2:07:12 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,woods_f,MX,PUE,73311,MXN,22.00,1.000000,MXN,22.00
GPA.3344-8650-2988-42501,"Apr 3, 2018",2:07:12 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,woods_f,MX,PUE,73311,MXN,-6.60,1.000000,MXN,-6.60
GPA.3382-6188-8104-42986,"Apr 4, 2018",11:49:39 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,mp1s3gss,MX,,80010,MXN,22.00,1.000000,MXN,22.00
GPA.3382-6188-8104-42986,"Apr 4, 2018",11:49:39 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,mp1s3gss,MX,,80010,MXN,-6.60,1.000000,MXN,-6.60
GPA.3324-1146-6510-37423,"Apr 4, 2018",11:50:01 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,mp1s3gss,MX,,80010,MXN,22.00,1.000000,MXN,22.00
GPA.3324-1146-6510-37423,"Apr 4, 2018",11:50:01 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,mp1s3gss,MX,,80010,MXN,-6.60,1.000000,MXN,-6.60
GPA.3330-2646-3798-95777,"Apr 5, 2018",11:58:23 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,potter,MX,,47925,MXN,22.00,1.000000,MXN,22.00
GPA.3330-2646-3798-95777,"Apr 5, 2018",11:58:23 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,potter,MX,,47925,MXN,-6.60,1.000000,MXN,-6.60
GPA.3394-5559-1739-29360,"Apr 5, 2018",12:44:51 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,herolte,MX,TAMPS,89345,MXN,22.00,1.000000,MXN,22.00
GPA.3394-5559-1739-29360,"Apr 5, 2018",12:44:51 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,herolte,MX,TAMPS,89345,MXN,-6.60,1.000000,MXN,-6.60
GPA.3374-0025-4718-20775,"Apr 6, 2018",7:12:45 AM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,potter_n,MX,,40400,MXN,22.00,1.000000,MXN,22.00
GPA.3374-0025-4718-20775,"Apr 6, 2018",7:12:45 AM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,potter_n,MX,,40400,MXN,-6.60,1.000000,MXN,-6.60
GPA.3325-0766-4817-89417,"Apr 6, 2018",7:16:49 AM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,potter_n,MX,,40400,MXN,22.00,1.000000,MXN,22.00
GPA.3325-0766-4817-89417,"Apr 6, 2018",7:16:49 AM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,potter_n,MX,,40400,MXN,-6.60,1.000000,MXN,-6.60
GPA.3312-6869-1487-38874,"Apr 6, 2018",2:55:12 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,athene,MX,,91500,MXN,22.00,1.000000,MXN,22.00
GPA.3312-6869-1487-38874,"Apr 6, 2018",2:55:12 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,athene,MX,,91500,MXN,-6.60,1.000000,MXN,-6.60
GPA.3385-3617-2975-70666,"Apr 6, 2018",10:20:45 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,noblelteatt,DO,,22000,USD,1.21,18.290000,MXN,22.13
GPA.3385-3617-2975-70666,"Apr 6, 2018",10:20:45 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,noblelteatt,DO,,22000,USD,-0.36,18.290000,MXN,-6.58
GPA.3355-1425-7807-78637,"Apr 6, 2018",10:23:03 PM PDT,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,noblelteatt,DO,,22000,USD,1.21,18.290000,MXN,22.13
GPA.3355-1425-7807-78637,"Apr 6, 2018",10:23:03 PM PDT,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,noblelteatt,DO,,22000,USD,-0.36,18.290000,MXN,-6.58
GPA.3312-0958-0658-88188,"Apr 7, 2018",3:17:27 PM PDT,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,gts210vewifi,MX,,63156,MXN,22.00,1.000000,MXN,22.00
GPA.3312-0958-0658-88188,"Apr 7, 2018",3:17:27 PM PDT,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,gts210vewifi,MX,,63156,MXN,-6.60,1.000000,MXN,-6.60
