Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3346-3433-0604-63014,"Mar 1, 2021",4:30:40 PM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,bali,MX,,29020,MXN,69.00,1.000000,MXN,69.00
GPA.3346-3433-0604-63014,"Mar 1, 2021",4:30:40 PM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,bali,MX,,29020,MXN,-20.70,1.000000,MXN,-20.70
GPA.3346-3433-0604-63014,"Mar 1, 2021",4:30:40 PM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,bali,MX,,29020,MXN,-3.31,1.000000,MXN,-3.31
GPA.3383-7482-6737-10845,"Mar 3, 2021",11:16:07 AM PST,,Charge,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a71,MX,,14630,MXN,69.00,1.000000,MXN,69.00
GPA.3383-7482-6737-10845,"Mar 3, 2021",11:16:07 AM PST,,Google fee,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a71,MX,,14630,MXN,-20.70,1.000000,MXN,-20.70
GPA.3383-7482-6737-10845,"Mar 3, 2021",11:16:07 AM PST,Mexico VAT,Tax,,Diseño de vigas NTC - RSEE 2017,com.vigas.luiscantero.disenodevigasmexico,0,,a71,MX,,14630,MXN,-3.32,1.000000,MXN,-3.32
GPA.3372-1530-2094-70617,"Mar 3, 2021",11:17:46 AM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a71,MX,,14630,MXN,69.00,1.000000,MXN,69.00
GPA.3372-1530-2094-70617,"Mar 3, 2021",11:17:46 AM PST,,Google fee,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a71,MX,,14630,MXN,-20.70,1.000000,MXN,-20.70
GPA.3372-1530-2094-70617,"Mar 3, 2021",11:17:46 AM PST,Mexico VAT,Tax,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,a71,MX,,14630,MXN,-3.31,1.000000,MXN,-3.31
GPA.3396-2624-0430-17049,"Mar 7, 2021",5:06:32 PM PST,,Charge,,Diseño de columnas NTC - RSEE 2017,com.ingenieriacivilmexico.luiscantero.disenodecolumnasmexico,0,,HWSTK-HF,MX,MÉX.,50486,MXN,69.00,1.000000,MXN,69.00
